Name;;Number_EcoR
Aegean_Drainages;complet;424
Arabian_Interior;no complet;440
Barents_Sea_Drainages;no complet;407
Cantabric_Coast_Languedoc;complet;403
Central_&_Western_Europe;complet;404
Central_Anatolia;complet;431
Coastal_Levant;no complet;436
Crimea_Peninsula;complet;426
Dalmatia;complet;419
Dnieper_South_Bug;complet;425
Dniester_Lower_Danube;complet;418
Don;no complet;427
Eastern_Iberia;complet;414
Gulf_of_Venice_Drainages;complet;415
Ionian_Drainages;complet;421
Italian_Peninsula_&_Islands;complet;416
Kuban;no complet;428
Lake_Onega_Lake_Ladoga;complet;409
Lower_Tigris_&_Euphrates;no complet;441
Northern_Anatolia;complet;430
Northern_Baltic_Drainages;complet;406
Northern_British_Isles;complet;402
Norwegian_Sea_Drainages;complet;405
Orontes;no complet;437
Southeast_Adriatic_Drainages;complet;420
Southern_Anatolia;complet;432
Southern_Baltic_Lowlands;complet;408
Southern_Iberia;complet;413
Thrace;complet;423
Unassigned;complet;0
Upper_Danube;complet;417
Upper_Tigris_&_Euphrates;no complet;442
Vardar;complet;422
Volga_Ural;no complet;422
Western_Anatolia;complet;429
Western_Iberia;complet;412
Western_Transcaucasia;no complet;433
